Top N,Breadth Threshold,Stock Sleeve,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Best Year,Worst Year,Average Yearly Return,Number of Trades,Average Trades per Year,Average Annual Turnover,Final Portfolio Value
4,3,0.8,0.27549884835734506,0.21914477660236792,1.2210239272412997,1.5227677110732214,-0.327477324891576,0.8412761049900466,0.7806698093302034,-0.18326365334403616,0.29049701785931437,101.0,9.692307692307692,6.427802666428561,1262564.1002486702
4,4,0.8,0.27549884835734506,0.21914477660236792,1.2210239272412997,1.5227677110732214,-0.327477324891576,0.8412761049900466,0.7806698093302034,-0.18326365334403616,0.29049701785931437,101.0,9.692307692307692,6.427802666428561,1262564.1002486702
2,5,0.8,0.3336101155355877,0.26535119077058245,1.2186864136792406,1.547222412452406,-0.42377354625075114,0.7872367647464885,1.1832080318192921,-0.2298685956165437,0.3621530914920845,102.0,9.788271134805788,7.326192981376749,2008539.251773985
2,5,1.0,0.3794063224963431,0.3024492892397188,1.2156663737359177,1.565290091814905,-0.45408701395200723,0.8355366060665254,1.5386654218423903,-0.24589345765322346,0.4251962554190966,102.0,9.788271134805788,8.174115941115453,2855495.926981272
4,5,0.6,0.246428852731305,0.19776158463729532,1.2137521810361955,1.4868936479023782,-0.3302895527066816,0.7460994473238749,0.5938406644834695,-0.179811924199056,0.25424991768378224,99.0,9.5003808073115,5.767055161950802,992924.038266689
2,3,0.6,0.29467217346198726,0.23665461601576893,1.210746072317077,1.5240721884728563,-0.3921158454401107,0.7514926440456577,0.8665511078641606,-0.21424188546900402,0.3148798604891697,107.0,10.268088347296267,5.52989324427397,1474947.1938900135
2,5,0.6,0.2868760503358063,0.23067921300011118,1.2098287824583698,1.5070518945745335,-0.3921158454401107,0.7316104505132067,0.8665511078641606,-0.21424188546900402,0.30261155722232186,102.0,9.788271134805788,6.478270021638045,1384975.6986387926
3,4,0.6,0.2570052757096346,0.21072056888582805,1.191833824354541,1.4890264508247812,-0.3423690133325892,0.7506674544169999,0.6791787565610745,-0.1792216661367867,0.26573280087750367,106.0,10.172124904798173,6.435921689350717,1084315.4796751025
4,3,0.6,0.24087452162420253,0.1993892959179296,1.1830629717629275,1.4479694755351125,-0.33028955270668126,0.7292828963261665,0.5938406644834695,-0.179811924199056,0.24954845205244955,101.0,9.692307692307692,5.804477285426905,947772.0316264321
4,4,0.6,0.24087452162420253,0.1993892959179296,1.1830629717629275,1.4479694755351125,-0.33028955270668126,0.7292828963261665,0.5938406644834695,-0.179811924199056,0.24954845205244955,101.0,9.692307692307692,5.804477285426905,947772.0316264321
2,4,0.8,0.31209916672680627,0.2701021822855219,1.1417250416815585,1.4547564673307598,-0.42377354625075114,0.7364762842986287,1.1832080318192921,-0.2298685956165437,0.3456814555278085,106.0,10.172124904798173,7.474310751438626,1695459.7860868599
2,4,0.6,0.26995170713126826,0.23454233559298995,1.1372592370724028,1.4204762636236863,-0.39211584544011036,0.688448860892818,0.8665511078641606,-0.21424188546900402,0.2890260827481871,106.0,10.172124904798173,6.589358349184454,1206503.497927724
2,4,1.0,0.35296366953749425,0.30807239618394483,1.1361920683402442,1.4687971870414238,-0.45408701395200723,0.7773040379762968,1.5386654218423903,-0.24589345765322346,0.405850331804853,106.0,10.172124904798173,8.359263153692797,2333914.1740258364
